,airline_name,airline_iata,airline_icao,callsign,airline_country
3525,Nok Air,DD,NOK,NOK AIR,Thailand
3526,Qatar Airways,QR,QTR,QATARI,Qatar
3527,Air China,CA,CCA,AIR CHINA,China
3528,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
3529,JetBlue Airways,B6,JBU,JETBLUE,United States
3530,Spirit Airlines,NK,NKS,SPIRIT WINGS,United States
3531,Spirit Airlines,NK,NKS,SPIRIT WINGS,United States
3532,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
3533,Allegiant Air,G4,AAY,ALLEGIANT,United States
3534,Tropic Air,PM,TOS,TROPISER,Belize
3535,Turkish Airlines,TK,THY,TURKAIR,Turkey
3536,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
3537,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
3538,Skymark Airlines,BC,SKY,SKYMARK,Japan
3539,Turkish Airlines,TK,THY,TURKAIR,Turkey
3540,China Eastern Airlines,MU,CES,CHINA EASTERN,China
3541,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
3542,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
3543,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
3544,Southwest Airlines,WN,SWA,SOUTHWEST,United States
3545,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
3546,Southwest Airlines,WN,SWA,SOUTHWEST,United States
3547,China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China
3548,United Airlines,UA,UAL,UNITED,United States
3549,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
3550,Spring Airlines,9S,CQH,AIR SPRING,China
3551,American Airlines,AA,AAL,AMERICAN,United States
3552,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
3553,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
3554,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
3555,Skymark Airlines,BC,SKY,SKYMARK,Japan
3556,Wings Air,IW,WON,WINGS ABADI,Indonesia
3557,Delta Air Lines,DL,DAL,DELTA,United States
3558,Sichuan Airlines,3U,CSC,SI CHUAN,China
3559,Sichuan Airlines,3U,CSC,SI CHUAN,China
3560,China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China
3561,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
3562,China United Airlines,HR,CUA,LIANHANG,China
3563,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
3564,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
3565,Nok Air,DD,NOK,NOK AIR,Thailand
3566,Air France,AF,AFR,AIRFRANS,France
3567,Qatar Airways,QR,QTR,QATARI,Qatar
3568,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
3569,Maya Island Air,MW,MYD,MYLAND,Belize
3570,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
3571,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
3572,Cape Air,9K,KAP,CAIR,United States
