,airline_name,airline_iata,airline_icao,callsign,airline_country
1041,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
1042,Allegiant Air,G4,AAY,ALLEGIANT,United States
1043,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
1044,Qatar Airways,QR,QTR,QATARI,Qatar
1045,Nok Air,DD,NOK,NOK AIR,Thailand
1046,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
1047,American Airlines,AA,AAL,AMERICAN,United States
1048,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
1049,China United Airlines,HR,CUA,LIANHANG,China
1050,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
1051,Alaska Airlines,AS,ASA, Inc.,ALASKA
1052,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
1053,Air China,CA,CCA,AIR CHINA,China
1054,Air Canada,AC,ACA,AIR CANADA,Canada
1055,China United Airlines,HR,CUA,LIANHANG,China
1056,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
1057,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1058,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
1059,Cape Air,9K,KAP,CAIR,United States
1060,Alaska Airlines,AS,ASA, Inc.,ALASKA
1061,Oman Air,WY,OMA,OMAN AIR,Oman
1062,Qatar Airways,QR,QTR,QATARI,Qatar
1063,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
1064,China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China
1065,Southwest Airlines,WN,SWA,SOUTHWEST,United States
1066,Ural Airlines,U6,SVR,SVERDLOVSK AIR,Russia
1067,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
1068,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
1069,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
1070,Cape Air,9K,KAP,CAIR,United States
1071,Air Canada,AC,ACA,AIR CANADA,Canada
1072,Qatar Airways,QR,QTR,QATARI,Qatar
1073,Southwest Airlines,WN,SWA,SOUTHWEST,United States
1074,China United Airlines,HR,CUA,LIANHANG,China
1075,Philippine Airlines,PR,PAL,PHILIPPINE,Philippines
1076,Air Canada,AC,ACA,AIR CANADA,Canada
1077,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
1078,Turkish Airlines,TK,THY,TURKAIR,Turkey
1079,China United Airlines,HR,CUA,LIANHANG,China
1080,Spring Airlines,9S,CQH,AIR SPRING,China
1081,Sichuan Airlines,3U,CSC,SI CHUAN,China
1082,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
1083,Spring Airlines,9S,CQH,AIR SPRING,China
1084,Delta Air Lines,DL,DAL,DELTA,United States
1085,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
1086,Cape Air,9K,KAP,CAIR,United States
1087,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
1088,Skymark Airlines,BC,SKY,SKYMARK,Japan
1089,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1090,China United Airlines,HR,CUA,LIANHANG,China
1091,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
1092,China United Airlines,HR,CUA,LIANHANG,China
1093,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1094,Wings Air,IW,WON,WINGS ABADI,Indonesia
1095,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1096,Spring Airlines,9S,CQH,AIR SPRING,China
1097,Southwest Airlines,WN,SWA,SOUTHWEST,United States
1098,Skymark Airlines,BC,SKY,SKYMARK,Japan
1099,Delta Air Lines,DL,DAL,DELTA,United States
1100,China United Airlines,HR,CUA,LIANHANG,China
1101,Wings Air,IW,WON,WINGS ABADI,Indonesia
1102,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
1103,Air Canada,AC,ACA,AIR CANADA,Canada
1104,Air China,CA,CCA,AIR CHINA,China
1105,Southwest Airlines,WN,SWA,SOUTHWEST,United States
1106,Air China,CA,CCA,AIR CHINA,China
1107,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
1108,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
1109,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
1110,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1111,Turkish Airlines,TK,THY,TURKAIR,Turkey
1112,Oman Air,WY,OMA,OMAN AIR,Oman
1113,Air Canada,AC,ACA,AIR CANADA,Canada
1114,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
1115,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
1116,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1117,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
1118,Tropic Air,PM,TOS,TROPISER,Belize
1119,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
1120,Skymark Airlines,BC,SKY,SKYMARK,Japan
1121,Shandong Airlines,SC,CDG,SHANDONG,China
1122,Nok Air,DD,NOK,NOK AIR,Thailand
1123,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
1124,Maya Island Air,MW,MYD,MYLAND,Belize
1125,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
1126,Allegiant Air,G4,AAY,ALLEGIANT,United States
1127,Turkish Airlines,TK,THY,TURKAIR,Turkey
1128,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
1129,Tropic Air,PM,TOS,TROPISER,Belize
1130,Spring Airlines,9S,CQH,AIR SPRING,China
1131,Delta Air Lines,DL,DAL,DELTA,United States
1132,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
1133,Qatar Airways,QR,QTR,QATARI,Qatar
1134,Sichuan Airlines,3U,CSC,SI CHUAN,China
1135,China United Airlines,HR,CUA,LIANHANG,China
1136,Delta Air Lines,DL,DAL,DELTA,United States
1137,Hainan Airlines,HU,CHH,HAINAN,China
1138,Tropic Air,PM,TOS,TROPISER,Belize
1139,Tropic Air,PM,TOS,TROPISER,Belize
1140,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
1141,Skymark Airlines,BC,SKY,SKYMARK,Japan
1142,Philippine Airlines,PR,PAL,PHILIPPINE,Philippines
1143,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
1144,Nok Air,DD,NOK,NOK AIR,Thailand
1145,Spring Airlines,9S,CQH,AIR SPRING,China
1146,Turkish Airlines,TK,THY,TURKAIR,Turkey
1147,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
1148,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
1149,Hainan Airlines,HU,CHH,HAINAN,China
1150,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
1151,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
1152,China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China
1153,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
1154,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1155,Skymark Airlines,BC,SKY,SKYMARK,Japan
1156,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
1157,Nok Air,DD,NOK,NOK AIR,Thailand
1158,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
1159,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
1160,Cape Air,9K,KAP,CAIR,United States
1161,Sichuan Airlines,3U,CSC,SI CHUAN,China
1162,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
1163,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
1164,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
1165,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1166,Delta Air Lines,DL,DAL,DELTA,United States
1167,Spring Airlines,9S,CQH,AIR SPRING,China
1168,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
1169,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
1170,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1171,Southwest Airlines,WN,SWA,SOUTHWEST,United States
1172,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
1173,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
1174,Delta Air Lines,DL,DAL,DELTA,United States
1175,Turkish Airlines,TK,THY,TURKAIR,Turkey
1176,Spring Airlines,9S,CQH,AIR SPRING,China
1177,Southwest Airlines,WN,SWA,SOUTHWEST,United States
1178,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
1179,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
1180,Nok Air,DD,NOK,NOK AIR,Thailand
1181,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
1182,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
1183,Sichuan Airlines,3U,CSC,SI CHUAN,China
1184,Wings Air,IW,WON,WINGS ABADI,Indonesia
1185,Spirit Airlines,NK,NKS,SPIRIT WINGS,United States
1186,United Airlines,UA,UAL,UNITED,United States
1187,Alaska Airlines,AS,ASA, Inc.,ALASKA
1188,Maya Island Air,MW,MYD,MYLAND,Belize
1189,Nok Air,DD,NOK,NOK AIR,Thailand
1190,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
1191,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1192,Qatar Airways,QR,QTR,QATARI,Qatar
1193,Tropic Air,PM,TOS,TROPISER,Belize
1194,Air China,CA,CCA,AIR CHINA,China
1195,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
1196,Sriwijaya Air,SJ,SJY,SRIWIJAYA,Indonesia
1197,Sichuan Airlines,3U,CSC,SI CHUAN,China
1198,Skymark Airlines,BC,SKY,SKYMARK,Japan
1199,Air China,CA,CCA,AIR CHINA,China
1200,Hainan Airlines,HU,CHH,HAINAN,China
1201,Spring Airlines,9S,CQH,AIR SPRING,China
1202,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
1203,Oman Air,WY,OMA,OMAN AIR,Oman
1204,Air Canada,AC,ACA,AIR CANADA,Canada
1205,Spirit Airlines,NK,NKS,SPIRIT WINGS,United States
1206,Turkish Airlines,TK,THY,TURKAIR,Turkey
1207,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
1208,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
1209,Air China,CA,CCA,AIR CHINA,China
1210,Qatar Airways,QR,QTR,QATARI,Qatar
1211,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
1212,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
1213,China United Airlines,HR,CUA,LIANHANG,China
1214,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
1215,Air Canada,AC,ACA,AIR CANADA,Canada
1216,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
1217,Turkish Airlines,TK,THY,TURKAIR,Turkey
1218,Skymark Airlines,BC,SKY,SKYMARK,Japan
1219,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
1220,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
1221,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
1222,Hainan Airlines,HU,CHH,HAINAN,China
1223,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
1224,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
1225,Air Canada,AC,ACA,AIR CANADA,Canada
1226,Shandong Airlines,SC,CDG,SHANDONG,China
1227,Nok Air,DD,NOK,NOK AIR,Thailand
1228,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
1229,Turkish Airlines,TK,THY,TURKAIR,Turkey
1230,China United Airlines,HR,CUA,LIANHANG,China
1231,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
1232,Southwest Airlines,WN,SWA,SOUTHWEST,United States
1233,Maya Island Air,MW,MYD,MYLAND,Belize
1234,Wings Air,IW,WON,WINGS ABADI,Indonesia
1235,Air China,CA,CCA,AIR CHINA,China
1236,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
1237,Alaska Airlines,AS,ASA, Inc.,ALASKA
1238,Sriwijaya Air,SJ,SJY,SRIWIJAYA,Indonesia
1239,Cape Air,9K,KAP,CAIR,United States
1240,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1241,Cape Air,9K,KAP,CAIR,United States
1242,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
1243,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
1244,Maya Island Air,MW,MYD,MYLAND,Belize
1245,Delta Air Lines,DL,DAL,DELTA,United States
1246,United Airlines,UA,UAL,UNITED,United States
1247,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
1248,Wings Air,IW,WON,WINGS ABADI,Indonesia
1249,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
1250,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1251,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
1252,Shandong Airlines,SC,CDG,SHANDONG,China
1253,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
1254,Allegiant Air,G4,AAY,ALLEGIANT,United States
1255,Wings Air,IW,WON,WINGS ABADI,Indonesia
1256,Spring Airlines,9S,CQH,AIR SPRING,China
1257,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
1258,Allegiant Air,G4,AAY,ALLEGIANT,United States
1259,American Airlines,AA,AAL,AMERICAN,United States
1260,China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China
1261,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
1262,Air China,CA,CCA,AIR CHINA,China
1263,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1264,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
1265,Shanghai Airlines,FM,CSH,SHANGHAI AIR,China
1266,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
1267,Qatar Airways,QR,QTR,QATARI,Qatar
1268,Hainan Airlines,HU,CHH,HAINAN,China
1269,Allegiant Air,G4,AAY,ALLEGIANT,United States
1270,Spirit Airlines,NK,NKS,SPIRIT WINGS,United States
1271,Southwest Airlines,WN,SWA,SOUTHWEST,United States
1272,Air Canada,AC,ACA,AIR CANADA,Canada
1273,China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China
1274,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
1275,Oman Air,WY,OMA,OMAN AIR,Oman
1276,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
1277,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
1278,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
1279,China United Airlines,HR,CUA,LIANHANG,China
1280,United Airlines,UA,UAL,UNITED,United States
1281,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1282,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1283,Qatar Airways,QR,QTR,QATARI,Qatar
1284,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1285,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
1286,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
1287,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
1288,China United Airlines,HR,CUA,LIANHANG,China
1289,China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China
1290,Alaska Airlines,AS,ASA, Inc.,ALASKA
1291,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
1292,Skymark Airlines,BC,SKY,SKYMARK,Japan
1293,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
1294,American Airlines,AA,AAL,AMERICAN,United States
1295,Oman Air,WY,OMA,OMAN AIR,Oman
1296,Nok Air,DD,NOK,NOK AIR,Thailand
1297,Shanghai Airlines,FM,CSH,SHANGHAI AIR,China
1298,Shandong Airlines,SC,CDG,SHANDONG,China
1299,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1300,American Airlines,AA,AAL,AMERICAN,United States
1301,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1302,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
1303,Shanghai Airlines,FM,CSH,SHANGHAI AIR,China
1304,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
1305,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1306,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
1307,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
1308,Southwest Airlines,WN,SWA,SOUTHWEST,United States
1309,Spring Airlines,9S,CQH,AIR SPRING,China
1310,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
1311,Cape Air,9K,KAP,CAIR,United States
1312,JetBlue Airways,B6,JBU,JETBLUE,United States
1313,Philippine Airlines,PR,PAL,PHILIPPINE,Philippines
1314,Southwest Airlines,WN,SWA,SOUTHWEST,United States
1315,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
1316,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
1317,Air Canada,AC,ACA,AIR CANADA,Canada
1318,Air France,AF,AFR,AIRFRANS,France
1319,Ural Airlines,U6,SVR,SVERDLOVSK AIR,Russia
1320,Cape Air,9K,KAP,CAIR,United States
1321,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
1322,China United Airlines,HR,CUA,LIANHANG,China
1323,Hainan Airlines,HU,CHH,HAINAN,China
1324,Skymark Airlines,BC,SKY,SKYMARK,Japan
1325,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
1326,Qatar Airways,QR,QTR,QATARI,Qatar
1327,Delta Air Lines,DL,DAL,DELTA,United States
1328,Skymark Airlines,BC,SKY,SKYMARK,Japan
1329,Qatar Airways,QR,QTR,QATARI,Qatar
1330,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
1331,Air Canada,AC,ACA,AIR CANADA,Canada
1332,JetBlue Airways,B6,JBU,JETBLUE,United States
1333,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
1334,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
1335,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1336,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
1337,Sriwijaya Air,SJ,SJY,SRIWIJAYA,Indonesia
1338,Cape Air,9K,KAP,CAIR,United States
1339,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
1340,Alaska Airlines,AS,ASA, Inc.,ALASKA
1341,Turkish Airlines,TK,THY,TURKAIR,Turkey
1342,Southwest Airlines,WN,SWA,SOUTHWEST,United States
1343,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
1344,United Airlines,UA,UAL,UNITED,United States
1345,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1346,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
1347,Philippine Airlines,PR,PAL,PHILIPPINE,Philippines
1348,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
1349,Ural Airlines,U6,SVR,SVERDLOVSK AIR,Russia
1350,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
1351,Delta Air Lines,DL,DAL,DELTA,United States
1352,Ural Airlines,U6,SVR,SVERDLOVSK AIR,Russia
1353,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
1354,Air Canada,AC,ACA,AIR CANADA,Canada
1355,Air France,AF,AFR,AIRFRANS,France
1356,Turkish Airlines,TK,THY,TURKAIR,Turkey
1357,Southwest Airlines,WN,SWA,SOUTHWEST,United States
1358,United Airlines,UA,UAL,UNITED,United States
1359,Turkish Airlines,TK,THY,TURKAIR,Turkey
1360,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
1361,Shandong Airlines,SC,CDG,SHANDONG,China
1362,Ural Airlines,U6,SVR,SVERDLOVSK AIR,Russia
1363,Hainan Airlines,HU,CHH,HAINAN,China
1364,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1365,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
1366,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
1367,Spring Airlines,9S,CQH,AIR SPRING,China
1368,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
1369,Sichuan Airlines,3U,CSC,SI CHUAN,China
1370,China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China
1371,American Airlines,AA,AAL,AMERICAN,United States
1372,Allegiant Air,G4,AAY,ALLEGIANT,United States
1373,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
1374,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
1375,Cape Air,9K,KAP,CAIR,United States
1376,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1377,Shanghai Airlines,FM,CSH,SHANGHAI AIR,China
1378,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
1379,Allegiant Air,G4,AAY,ALLEGIANT,United States
1380,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
1381,Hainan Airlines,HU,CHH,HAINAN,China
1382,Wings Air,IW,WON,WINGS ABADI,Indonesia
1383,Maya Island Air,MW,MYD,MYLAND,Belize
1384,Air China,CA,CCA,AIR CHINA,China
1385,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
1386,American Airlines,AA,AAL,AMERICAN,United States
1387,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
1388,Sriwijaya Air,SJ,SJY,SRIWIJAYA,Indonesia
1389,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1390,Sichuan Airlines,3U,CSC,SI CHUAN,China
1391,JetBlue Airways,B6,JBU,JETBLUE,United States
1392,Spring Airlines,9S,CQH,AIR SPRING,China
1393,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1394,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
1395,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
1396,Delta Air Lines,DL,DAL,DELTA,United States
1397,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
1398,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1399,Nok Air,DD,NOK,NOK AIR,Thailand
1400,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1401,American Airlines,AA,AAL,AMERICAN,United States
1402,British Airways,BA,BAW,SPEEDBIRD,United Kingdom
1403,Hainan Airlines,HU,CHH,HAINAN,China
1404,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
1405,Jeju Air,7C,JJA,JEJU AIR,Republic of Korea
1406,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
1407,Turkish Airlines,TK,THY,TURKAIR,Turkey
1408,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
1409,Thai AirAsia,FD,AIQ,THAI ASIA,Thailand
1410,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
1411,Delta Air Lines,DL,DAL,DELTA,United States
1412,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
1413,Sriwijaya Air,SJ,SJY,SRIWIJAYA,Indonesia
1414,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
1415,Delta Air Lines,DL,DAL,DELTA,United States
1416,Hainan Airlines,HU,CHH,HAINAN,China
1417,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
1418,Allegiant Air,G4,AAY,ALLEGIANT,United States
1419,Hawaiian Airlines,HA,HAL,HAWAIIAN,United States
1420,Royal Air Maroc,AT,RAM,ROYALAIR MAROC,Morocco
1421,Spirit Airlines,NK,NKS,SPIRIT WINGS,United States
1422,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
1423,Cape Air,9K,KAP,CAIR,United States
1424,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1425,Shanghai Airlines,FM,CSH,SHANGHAI AIR,China
1426,Shanghai Airlines,FM,CSH,SHANGHAI AIR,China
1427,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
1428,Spring Airlines,9S,CQH,AIR SPRING,China
1429,Oman Air,WY,OMA,OMAN AIR,Oman
1430,Air Canada,AC,ACA,AIR CANADA,Canada
1431,Air Canada,AC,ACA,AIR CANADA,Canada
1432,JetBlue Airways,B6,JBU,JETBLUE,United States
1433,Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
1434,Air France,AF,AFR,AIRFRANS,France
1435,American Airlines,AA,AAL,AMERICAN,United States
1436,Air Canada,AC,ACA,AIR CANADA,Canada
1437,Sriwijaya Air,SJ,SJY,SRIWIJAYA,Indonesia
1438,China Eastern Airlines,MU,CES,CHINA EASTERN,China
1439,S7 Airlines,S7,SBI,SIBERIAN AIRLINES,Russia
1440,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
1441,Skymark Airlines,BC,SKY,SKYMARK,Japan
1442,Delta Air Lines,DL,DAL,DELTA,United States
1443,Philippine Airlines,PR,PAL,PHILIPPINE,Philippines
1444,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
1445,JetBlue Airways,B6,JBU,JETBLUE,United States
1446,Southwest Airlines,WN,SWA,SOUTHWEST,United States
1447,Alaska Airlines,AS,ASA, Inc.,ALASKA
1448,Tropic Air,PM,TOS,TROPISER,Belize
1449,Sichuan Airlines,3U,CSC,SI CHUAN,China
1450,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
1451,United Airlines,UA,UAL,UNITED,United States
1452,Nok Air,DD,NOK,NOK AIR,Thailand
1453,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
1454,Spring Airlines,9S,CQH,AIR SPRING,China
1455,Alaska Airlines,AS,ASA, Inc.,ALASKA
1456,Turkish Airlines,TK,THY,TURKAIR,Turkey
1457,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
1458,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
1459,Wizz Air,W6,WZZ,WIZZ AIR,Hungary
1460,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
1461,Shenzhen Airlines,ZH,CSZ,SHENZHEN AIR,China
1462,Malaysia Airlines,MH,MAS,MALAYSIAN,Malaysia
1463,Xiamen Airlines,MF,CXA,XIAMEN AIR,China
1464,Air France,AF,AFR,AIRFRANS,France
1465,Nok Air,DD,NOK,NOK AIR,Thailand
1466,Air China,CA,CCA,AIR CHINA,China
1467,Alaska Airlines,AS,ASA, Inc.,ALASKA
1468,Air France,AF,AFR,AIRFRANS,France
1469,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
1470,Indonesia AirAsia,QZ,AWQ,WAGON AIR,Indonesia
1471,Shandong Airlines,SC,CDG,SHANDONG,China
1472,JetBlue Airways,B6,JBU,JETBLUE,United States
1473,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
1474,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
1475,Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China
1476,JetBlue Airways,B6,JBU,JETBLUE,United States
1477,Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
1478,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
1479,China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China
1480,American Airlines,AA,AAL,AMERICAN,United States
1481,Sriwijaya Air,SJ,SJY,SRIWIJAYA,Indonesia
1482,Skymark Airlines,BC,SKY,SKYMARK,Japan
1483,China United Airlines,HR,CUA,LIANHANG,China
1484,AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
1485,Vietnam Airlines,VN,HVN,VIET NAM AIRLINES,Vietnam
1486,Ural Airlines,U6,SVR,SVERDLOVSK AIR,Russia
1487,Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
1488,Air France,AF,AFR,AIRFRANS,France
1489,Air Canada,AC,ACA,AIR CANADA,Canada
