,origin_airport_name,origin_airport_city,origin_airport_country,origin_airport_iata,origin_icao,origin_lat,origin_long,origin_altitude,origin_timezone
128,Hamad International Airport,Doha,Qatar,DOH,OTHH,25.27,51.61,13.0,
129,Beijing Capital International Airport,Beijing,China,PEK,ZBAA,40.08,116.58,116.0,Asia/Shanghai
130,Zagreb Airport,Zagreb,Croatia,ZAG,LDZA,45.74,16.07,353.0,Europe/Zagreb
131,Zhengzhou Xinzheng International Airport,Zhengzhou,China,CGO,ZHCC,34.52,113.84,495.0,Asia/Shanghai
132,Salt Lake City International Airport,Salt Lake City,United States,SLC,KSLC,40.79,-111.98,4227.0,America/Denver
133,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,LUX,ELLX,49.62,6.2,1234.0,Europe/Luxembourg
134,Camilo Daza International Airport,Cucuta,Colombia,CUC,SKCC,7.93,-72.51,1096.0,America/Bogota
135,Fukuoka Airport,Fukuoka,Japan,FUK,RJFF,33.59,130.45,32.0,Asia/Tokyo
136,Guararapes - Gilberto Freyre International Airport,Recife,Brazil,REC,SBRF,-8.13,-34.92,33.0,America/Fortaleza
137,Istanbul Airport,Istanbul,Turkey,IST,LTFM,41.28,28.75,325.0,
138,Tribhuvan International Airport,Kathmandu,Nepal,KTM,VNKT,27.7,85.36,4390.0,Asia/Katmandu
139,Ted Stevens Anchorage International Airport,Anchorage,United States,ANC,PANC,61.17,-150.0,152.0,America/Anchorage
140,Noi Bai International Airport,Hanoi,Vietnam,HAN,VVNB,21.22,105.81,39.0,Asia/Saigon
141,General E. Mosconi Airport,Comodoro Rivadavia,Argentina,CRD,SAVC,-45.79,-67.47,189.0,America/Catamarca
142,La Florida Airport,La Serena,Chile,LSC,SCSE,-29.92,-71.2,481.0,America/Santiago
143,Salt Lake City International Airport,Salt Lake City,United States,SLC,KSLC,40.79,-111.98,4227.0,America/Denver
144,Charlotte Douglas International Airport,Charlotte,United States,CLT,KCLT,35.21,-80.94,748.0,America/New_York
145,El Calafate Airport,El Calafate,Argentina,FTE,SAWC,-50.28,-72.05,669.0,America/Argentina/Rio_Gallegos
146,Reno Tahoe International Airport,Reno,United States,RNO,KRNO,39.5,-119.77,4415.0,America/Los_Angeles
147,Trondheim Airport Værnes,Trondheim,Norway,TRD,ENVA,63.46,10.92,56.0,Europe/Oslo
148,Eleftherios Venizelos International Airport,Athens,Greece,ATH,LGAV,37.94,23.94,308.0,Europe/Athens
149,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,TIST,18.34,-64.97,23.0,America/St_Thomas
150,Ástor Piazzola International Airport,Mar Del Plata,Argentina,MDQ,SAZM,-37.93,-57.57,72.0,America/Buenos_Aires
151,Kahului Airport,Kahului,United States,OGG,PHOG,20.9,-156.43,54.0,Pacific/Honolulu
152,Hamburg Airport,Hamburg,Germany,HAM,EDDH,53.63,9.99,53.0,Europe/Berlin
153,Hangzhou Xiaoshan International Airport,Hangzhou,China,HGH,ZSHC,30.23,120.43,23.0,Asia/Shanghai
154,Chongqing Jiangbei International Airport,Chongqing,China,CKG,ZUCK,29.72,106.64,1365.0,Asia/Shanghai
155,Vienna International Airport,Vienna,Austria,VIE,LOWW,48.11,16.57,600.0,Europe/Vienna
156,Stuttgart Airport,Stuttgart,Germany,STR,EDDS,48.69,9.22,1276.0,Europe/Berlin
157,Santa Maria Airport,Aracaju,Brazil,AJU,SBAR,-10.98,-37.07,23.0,America/Fortaleza
158,Deputado Luiz Eduardo Magalhães International Airport,Salvador,Brazil,SSA,SBSV,-12.91,-38.32,64.0,America/Fortaleza
159,Camilo Daza International Airport,Cucuta,Colombia,CUC,SKCC,7.93,-72.51,1096.0,America/Bogota
160,Václav Havel Airport Prague,Prague,Czech Republic,PRG,LKPR,50.1,14.26,1247.0,Europe/Prague
161,Chiang Mai International Airport,Chiang Mai,Thailand,CNX,VTCC,18.77,98.96,1036.0,Asia/Bangkok
162,Lanzarote Airport,Arrecife,Spain,ACE,GCRR,28.95,-13.61,46.0,Atlantic/Canary
163,Fukuoka Airport,Fukuoka,Japan,FUK,RJFF,33.59,130.45,32.0,Asia/Tokyo
164,Malpensa International Airport,Milano,Italy,MXP,LIMC,45.63,8.73,768.0,Europe/Rome
165,Jieyang Chaoshan International Airport,Shantou,China,SWA,ZGOW,23.55,116.5,0.0,Asia/Shanghai
166,Cyril E. King Airport,St. Thomas,Virgin Islands,STT,TIST,18.34,-64.97,23.0,America/St_Thomas
167,Stavanger Airport Sola,Stavanger,Norway,SVG,ENZV,58.88,5.64,29.0,Europe/Oslo
168,Longdongbao Airport,Guiyang,China,KWE,ZUGY,26.54,106.8,3736.0,Asia/Shanghai
169,Taiping Airport,Harbin,China,HRB,ZYHB,45.62,126.25,457.0,Asia/Shanghai
170,Guilin Liangjiang International Airport,Guilin,China,KWL,ZGKL,25.22,110.04,570.0,Asia/Shanghai
171,Lihue Airport,Lihue,United States,LIH,PHLI,21.98,-159.34,153.0,Pacific/Honolulu
172,Eleftherios Venizelos International Airport,Athens,Greece,ATH,LGAV,37.94,23.94,308.0,Europe/Athens
173,Naples International Airport,Naples,Italy,NAP,LIRN,40.89,14.29,294.0,Europe/Rome
174,Cap FAP David Abenzur Rengifo International Airport,Pucallpa,Peru,PCL,SPCL,-8.38,-74.57,513.0,America/Lima
175,Gdańsk Lech Wałęsa Airport,Gdansk,Poland,GDN,EPGD,54.38,18.47,489.0,Europe/Warsaw
176,Guilin Liangjiang International Airport,Guilin,China,KWL,ZGKL,25.22,110.04,570.0,Asia/Shanghai
177,New Chitose Airport,Sapporo,Japan,CTS,RJCC,42.78,141.69,82.0,Asia/Tokyo
178,Paris-Orly Airport,Paris,France,ORY,LFPO,48.72,2.38,291.0,Europe/Paris
179,Cologne Bonn Airport,Cologne,Germany,CGN,EDDK,50.87,7.14,302.0,Europe/Berlin
180,Domodedovo International Airport,Moscow,Russia,DME,UUDD,55.41,37.91,588.0,Europe/Moscow
181,Sofia Airport,Sofia,Bulgaria,SOF,LBSF,42.7,23.41,1742.0,Europe/Sofia
182,Rodríguez Ballón International Airport,Arequipa,Peru,AQP,SPQU,-16.34,-71.58,8405.0,America/Lima
183,Changsha Huanghua International Airport,Changcha,China,CSX,ZGHA,28.19,113.22,217.0,Asia/Shanghai
184,King Khaled International Airport,Riyadh,Saudi Arabia,RUH,OERK,24.96,46.7,2049.0,Asia/Riyadh
185,Islas Malvinas Airport,Rosario,Argentina,ROS,SAAR,-32.9,-60.78,85.0,America/Cordoba
186,General Abelardo L. Rodríguez International Airport,Tijuana,Mexico,TIJ,MMTJ,32.54,-116.97,489.0,America/Tijuana
187,Tenerife South Airport,Tenerife,Spain,TFS,GCTS,28.04,-16.57,209.0,Atlantic/Canary
188,Martin Miguel De Guemes International Airport,Salta,Argentina,SLA,SASA,-24.86,-65.49,4088.0,America/Argentina/Salta
189,Longdongbao Airport,Guiyang,China,KWE,ZUGY,26.54,106.8,3736.0,Asia/Shanghai
190,Val de Cans/Júlio Cezar Ribeiro International Airport,Belem,Brazil,BEL,SBBE,-1.38,-48.48,54.0,America/Belem
191,Frankfurt am Main Airport,Frankfurt,Germany,FRA,EDDF,50.03,8.57,364.0,Europe/Berlin
192,Tucson International Airport,Tucson,United States,TUS,KTUS,32.12,-110.94,2643.0,America/Phoenix
193,Thessaloniki Macedonia International Airport,Thessaloniki,Greece,SKG,LGTS,40.52,22.97,22.0,Europe/Athens
194,Tolmachevo Airport,Novosibirsk,Russia,OVB,UNNT,55.01,82.65,365.0,Asia/Krasnoyarsk
195,Stavanger Airport Sola,Stavanger,Norway,SVG,ENZV,58.88,5.64,29.0,Europe/Oslo
196,Pointe-à-Pitre Le Raizet,Pointe-a-pitre,Guadeloupe,PTP,TFFR,16.27,-61.53,36.0,America/Guadeloupe
197,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,LEPA,39.55,2.74,27.0,Europe/Madrid
198,El Calafate Airport,El Calafate,Argentina,FTE,SAWC,-50.28,-72.05,669.0,America/Argentina/Rio_Gallegos
199,Kagoshima Airport,Kagoshima,Japan,KOJ,RJFK,31.8,130.72,906.0,Asia/Tokyo
200,Taoxian Airport,Shenyang,China,SHE,ZYTX,41.64,123.48,198.0,Asia/Shanghai
